timestamps	CRIX
04.03.2016	771.4713216
05.03.2016	758.9281163
06.03.2016	772.7177731
07.03.2016	775.4785246
08.03.2016	776.9687456
09.03.2016	795.3719987
10.03.2016	796.9004511
11.03.2016	804.1512919
12.03.2016	807.5892722
13.03.2016	821.9152726
14.03.2016	803.3580813
15.03.2016	809.929928
16.03.2016	807.7106064
17.03.2016	798.6063102
18.03.2016	779.8273743
19.03.2016	774.6736379
20.03.2016	780.480914
21.03.2016	793.2023886
22.03.2016	797.5370415
23.03.2016	810.7380489
24.03.2016	795.7252087
25.03.2016	793.3168164
26.03.2016	797.961601
27.03.2016	805.6528138
28.03.2016	810.3998546
29.03.2016	799.9762679
30.03.2016	794.9156684
31.03.2016	795.3527411
01.04.2016	799.6877949
02.04.2016	804.4167204
03.04.2016	802.4726557
04.04.2016	802.7771255
05.04.2016	800.3127371
06.04.2016	799.5702942
07.04.2016	791.7305844
08.04.2016	784.9800257
09.04.2016	780.9417119
10.04.2016	776.8571591
11.04.2016	778.2017608
12.04.2016	774.5715028
13.04.2016	775.335152
14.04.2016	781.966053
15.04.2016	787.9214435
16.04.2016	793.7535333
17.04.2016	795.9913841
18.04.2016	795.9060581
19.04.2016	806.6784569
20.04.2016	814.3271706
21.04.2016	826.1569544
22.04.2016	817.8766459
23.04.2016	829.8671963
24.04.2016	839.0804878
25.04.2016	838.4134426
26.04.2016	844.072327
27.04.2016	809.5110845
28.04.2016	813.1216328
29.04.2016	827.1609162
30.04.2016	825.2462048
01.05.2016	832.6903395
02.05.2016	830.2607378
03.05.2016	832.3392956
04.05.2016	827.8229153
05.05.2016	833.460641
06.05.2016	850.0404871
07.05.2016	848.03245
08.05.2016	849.0739955
09.05.2016	851.7893358
10.05.2016	832.3675308
11.05.2016	840.7767616
12.05.2016	845.8216486
13.05.2016	852.3605501
14.05.2016	848.6353046
15.05.2016	850.9476333
16.05.2016	855.9624093
17.05.2016	859.9882109
18.05.2016	871.550434
19.05.2016	862.2698638
20.05.2016	857.2533685
21.05.2016	862.1553945
22.05.2016	857.4700209
23.05.2016	856.5260357
24.05.2016	855.8614183
25.05.2016	858.780831
26.05.2016	865.5795641
27.05.2016	888.6159885
28.05.2016	978.1436883
29.05.2016	977.6138348
30.05.2016	996.8473052
31.05.2016	1003.406596
01.06.2016	1015.833418
02.06.2016	1014.386464
03.06.2016	1065.334233
04.06.2016	1069.106984
05.06.2016	1072.651079
06.06.2016	1090.48994
07.06.2016	1083.245493
08.06.2016	1091.160507
09.06.2016	1083.281218
10.06.2016	1082.281252
11.06.2016	1112.068572
12.06.2016	1243.383927
13.06.2016	1310.072692
14.06.2016	1296.677201
15.06.2016	1306.199762
16.06.2016	1439.113876
17.06.2016	1371.910381
18.06.2016	1350.866288
19.06.2016	1373.788192
20.06.2016	1322.653255
21.06.2016	1218.243126
22.06.2016	1096.956951
23.06.2016	1155.34145
24.06.2016	1221.102678
25.06.2016	1231.776653
26.06.2016	1170.375668
27.06.2016	1206.820676
28.06.2016	1193.747514
29.06.2016	1180.85834
30.06.2016	1239.826555
01.07.2016	1242.235657
02.07.2016	1262.380801
03.07.2016	1217.462635
04.07.2016	1239.370821
05.07.2016	1211.112716
06.07.2016	1224.397687
07.07.2016	1159.06773
08.07.2016	1216.654059
09.07.2016	1195.783608
10.07.2016	1190.892686
11.07.2016	1188.852051
12.07.2016	1239.586917
13.07.2016	1229.735417
14.07.2016	1235.705821
15.07.2016	1247.61395
16.07.2016	1246.378147
17.07.2016	1265.114372
18.07.2016	1250.042974
19.07.2016	1269.526398
20.07.2016	1270.336452
21.07.2016	1260.791779
22.07.2016	1253.866396
23.07.2016	1245.837312
24.07.2016	1243.112401
25.07.2016	1239.271069
26.07.2016	1210.316574
27.07.2016	1227.020803
28.07.2016	1226.432481
29.07.2016	1225.324032
30.07.2016	1221.685342
31.07.2016	1165.465845
01.08.2016	1127.186082
02.08.2016	960.6878815
03.08.2016	1057.894105
04.08.2016	1081.29724
05.08.2016	1082.595007
06.08.2016	1101.544993
07.08.2016	1109.679812
08.08.2016	1108.294307
09.08.2016	1107.032424
10.08.2016	1115.609387
11.08.2016	1108.324875
12.08.2016	1107.772747
13.08.2016	1101.952032
14.08.2016	1077.988144
15.08.2016	1071.91455
16.08.2016	1079.674668
17.08.2016	1075.403652
18.08.2016	1077.363329
19.08.2016	1079.514918
20.08.2016	1096.879161
21.08.2016	1091.980299
22.08.2016	1100.62125
23.08.2016	1093.796782
24.08.2016	1087.316217
25.08.2016	1084.702393
26.08.2016	1086.989291
27.08.2016	1070.626383
28.08.2016	1081.025452
29.08.2016	1084.088705
30.08.2016	1089.600795
31.08.2016	1084.426512
01.09.2016	1087.983854
02.09.2016	1094.368938
03.09.2016	1126.585796
04.09.2016	1148.865607
05.09.2016	1147.505972
06.09.2016	1150.299078
07.09.2016	1155.586964
08.09.2016	1171.064468
09.09.2016	1166.933452
10.09.2016	1174.292083
11.09.2016	1138.467583
12.09.2016	1142.065981
13.09.2016	1143.32255
14.09.2016	1147.266234
15.09.2016	1147.982998
16.09.2016	1151.154428
17.09.2016	1150.567716
18.09.2016	1151.978183
19.09.2016	1159.292297
20.09.2016	1167.288831
21.09.2016	1141.187514
22.09.2016	1137.223078
23.09.2016	1150.821833
24.09.2016	1148.39329
25.09.2016	1148.102603
26.09.2016	1155.012769
27.09.2016	1154.576179
28.09.2016	1158.443273
29.09.2016	1156.743445
30.09.2016	1163.354408
01.10.2016	1167.07279
02.10.2016	1162.33881
